"location","total_vaccinations","cum_total_vaccinations"
"Austria","2021-06-15",343774289
"Austria","2021-06-16",350332386
"Austria","2021-06-17",357003065
"Austria","2021-06-18",363780862
"Austria","2021-06-19",370623583
"Austria","2021-06-20",377502161
"Austria","2021-06-21",384412700
"Azerbaijan","2021-02-06",65000
"Azerbaijan","2021-03-01",358360
"Azerbaijan","2021-03-03",695675
"Azerbaijan","2021-03-09",1107171
"Azerbaijan","2021-03-10",1535806
"Azerbaijan","2021-03-11",1972655
"Azerbaijan","2021-03-12",2416543
"Azerbaijan","2021-03-13",2866859
"Azerbaijan","2021-03-14",3320445
"Azerbaijan","2021-03-20",3803109
"Azerbaijan","2021-03-26",4313529
"Azerbaijan","2021-04-01",5169892
"Azerbaijan","2021-04-02",6058925
"Azerbaijan","2021-04-03",6983738
"Azerbaijan","2021-04-04",7931483
"Azerbaijan","2021-04-05",8879430
"Azerbaijan","2021-04-06",9861721
"Azerbaijan","2021-04-07",10887511
"Azerbaijan","2021-04-08",11956999
"Azerbaijan","2021-04-09",13068721
"Azerbaijan","2021-04-10",14222270
"Azerbaijan","2021-04-11",15399357
"Azerbaijan","2021-04-12",16576544
"Azerbaijan","2021-04-13",17788707
"Azerbaijan","2021-04-14",19031898
"Azerbaijan","2021-04-15",20303689
"Azerbaijan","2021-04-16",21603012
"Azerbaijan","2021-04-17",22928046
"Azerbaijan","2021-04-18",24265407
"Azerbaijan","2021-04-19",25602787
"Azerbaijan","2021-04-20",26954997
"Azerbaijan","2021-04-21",28321887
"Azerbaijan","2021-04-22",29703854
"Azerbaijan","2021-04-23",31100245
"Azerbaijan","2021-04-24",32512726
"Azerbaijan","2021-04-25",33936021
"Azerbaijan","2021-04-26",35359681
"Azerbaijan","2021-04-27",36799924
"Azerbaijan","2021-04-28",38256038
"Azerbaijan","2021-04-29",39727617
"Azerbaijan","2021-04-30",41215835
"Azerbaijan","2021-05-01",42721041
"Azerbaijan","2021-05-02",44237964
"Azerbaijan","2021-05-04",45774292
"Azerbaijan","2021-05-05",47340398
"Azerbaijan","2021-05-06",48934281
"Azerbaijan","2021-05-07",50561197
"Azerbaijan","2021-05-08",52222969
"Azerbaijan","2021-05-09",53910366
"Azerbaijan","2021-05-10",55597933
"Azerbaijan","2021-05-11",57303839
"Azerbaijan","2021-05-12",59031349
"Azerbaijan","2021-05-13",60779874
"Azerbaijan","2021-05-14",62541506
"Azerbaijan","2021-05-15",64318932
"Azerbaijan","2021-05-16",66113981
"Azerbaijan","2021-05-18",67948638
"Azerbaijan","2021-05-19",69811930
"Azerbaijan","2021-05-20",71703633
"Azerbaijan","2021-05-21",73628438
"Azerbaijan","2021-05-22",75590001
"Azerbaijan","2021-05-23",77576970
"Azerbaijan","2021-05-24",79564054
"Azerbaijan","2021-05-25",81585425
"Azerbaijan","2021-05-26",83641411
"Azerbaijan","2021-05-27",85748300
"Azerbaijan","2021-05-28",87917485
"Azerbaijan","2021-05-29",90125559
"Azerbaijan","2021-05-30",92378368
"Azerbaijan","2021-05-31",94631584
"Azerbaijan","2021-06-01",96944299
"Azerbaijan","2021-06-02",99311393
"Azerbaijan","2021-06-03",101729475
"Azerbaijan","2021-06-04",104195194
"Azerbaijan","2021-06-05",106708279
"Azerbaijan","2021-06-06",109254448
"Azerbaijan","2021-06-07",111801218
"Azerbaijan","2021-06-08",114387628
"Azerbaijan","2021-06-09",117012504
"Azerbaijan","2021-06-10",119674542
"Azerbaijan","2021-06-11",122376565
"Azerbaijan","2021-06-12",125119432
"Azerbaijan","2021-06-13",127894751
"Azerbaijan","2021-06-14",130670392
"Azerbaijan","2021-06-15",133486738
"Azerbaijan","2021-06-16",136326060
"Azerbaijan","2021-06-17",139203938
"Azerbaijan","2021-06-18",142119892
"Azerbaijan","2021-06-20",145109350
"Azerbaijan","2021-06-21",148099023
"Bahamas","2021-03-14",110
"Bahamas","2021-03-21",1610
"Bahamas","2021-03-28",8610
"Bahamas","2021-04-07",18610
"Bahamas","2021-04-11",33610
"Bahamas","2021-04-20",55517
"Bahamas","2021-04-27",81209
"Bahamas","2021-05-09",117209
"Bahamas","2021-05-21",167451
"Bahamas","2021-05-29",222488
"Bahamas","2021-06-05",284671
"Bahamas","2021-06-11",352790
"Bahamas","2021-06-19",432036
"Bahrain","2020-12-23",38965
"Bahrain","2020-12-24",89036
"Bahrain","2020-12-25",139579
